id;nombre;descripcion;motivo_ajuste;activo;fecha_alta
1;mobile Fish;Home Loan Account Table Computer;Trace;false;2019-10-24T01:58:49
2;alarm;Tasty Metal Bacon;red Chips Soap;false;2019-10-24T01:43:39
3;Grocery Home;Investment Account Steel;Coordinator;false;2019-10-24T05:27:41
4;bluetooth;syndicate;Mississippi Refined Rubber Chicken Table;false;2019-10-24T16:05:19
5;Usability South Dakota envisioneer;Intelligent;Monitored Bahamian Dollar Investment Account;true;2019-10-24T15:34:54
6;Regional;Tuna;hardware Costa Rica Mayotte;false;2019-10-24T15:39:20
7;synthesizing Views e-enable;Credit Card Account National Awesome;Aruba;true;2019-10-24T08:35:57
8;scale interactive generating;Specialist Home Loan Account;Plastic;true;2019-10-24T12:26:26
9;Industrial;index orange;Jewelery;false;2019-10-23T23:26:33
10;application quantify Unbranded Plastic Tuna;Internal;Investment Account archive Fantastic Plastic Chicken;false;2019-10-24T00:25:30
